matchid,teamid,0_1,0_2,0_3,0_4,1_2,1_3,1_4,2_3,2_4,3_4,cs_00,cs_01,cs_02,cs_03,cs_04,cs_05,cs_06,cs_07,cs_08,cs_09,total_cs,gameDuration,win,total_death,total_kills,total_obj,delta_cs
NA1_3760138324,0,1,1,1,223,1,1,1,152,1,1,223,152,1,1,1,1,1,1,1,1,383,195207,False,0,0,6,-989
NA1_3760138324,1,73,1,329,396,1,56,108,1,1,406,406,396,329,108,73,56,1,1,1,1,1372,195207,True,0,0,6,989
NA1_3760130926,0,1,6,1,6,1,44,1,1,3,1,44,6,6,3,1,1,1,1,1,1,65,1581024,False,44,20,6,-167
NA1_3760130926,1,1,1,1,223,1,1,1,1,1,1,223,1,1,1,1,1,1,1,1,1,232,1581024,True,20,44,6,167
NA1_3760065737,0,2,56,58,40,2,2,2,23,15,63,63,58,56,40,23,15,2,2,2,2,263,1033195,True,9,26,6,16
NA1_3760065737,1,1,1,16,1,1,1,1,1,223,1,223,16,1,1,1,1,1,1,1,1,247,1033195,False,26,9,6,-16
NA1_3758931076,0,1,1,1,1,1,1,1,1,1,79,79,1,1,1,1,1,1,1,1,1,88,2330125,False,41,46,6,-337
NA1_3758931076,1,33,1,149,1,1,14,1,1,223,1,223,149,33,14,1,1,1,1,1,1,425,2330125,True,46,41,6,337
NA1_3758891886,0,213,1,1,1,1,1,1,1,223,1,223,213,1,1,1,1,1,1,1,1,444,2386244,False,62,48,6,-138
NA1_3758891886,1,166,77,1,1,138,1,1,1,1,195,195,166,138,77,1,1,1,1,1,1,582,2386244,True,48,61,6,138
NA1_3891417243,0,5,4,11,1,7,39,3,236,104,97,236,104,97,39,11,7,5,4,3,1,507,2650366,False,47,42,6,293
NA1_3891417243,1,1,42,1,28,1,100,1,1,38,1,100,42,38,28,1,1,1,1,1,1,214,2650366,True,42,47,6,-293
NA1_3891131517,0,1,56,1,1,1,1,1,1,1,1,56,1,1,1,1,1,1,1,1,1,65,1524727,True,17,37,6,-89
NA1_3891131517,1,1,1,1,145,1,1,1,1,1,1,145,1,1,1,1,1,1,1,1,1,154,1524727,False,37,17,6,89
NA1_3890111738,0,1,1,1,17,1,82,1,1,1,1,82,17,1,1,1,1,1,1,1,1,107,2026336,False,48,20,6,-9
NA1_3890111738,1,77,1,1,1,1,1,1,1,1,31,77,31,1,1,1,1,1,1,1,1,116,2026336,True,20,47,6,9
NA1_3888784649,0,1,159,1,1,1,1,1,1,1,1,159,1,1,1,1,1,1,1,1,1,168,1835448,False,45,41,6,-946
NA1_3888784649,1,37,1,102,192,1,183,259,1,1,337,337,259,192,183,102,37,1,1,1,1,1114,1835448,True,41,45,6,946
NA1_3888733292,0,66,1,1,1,1,1,1,1,1,1,66,1,1,1,1,1,1,1,1,1,75,884617,True,3,11,6,-348
NA1_3888733292,1,1,1,1,414,1,1,1,1,1,1,414,1,1,1,1,1,1,1,1,1,423,884617,False,11,3,6,348
NA1_3888636531,0,5,1,35,1,1,5,1,1,1,1,35,5,5,1,1,1,1,1,1,1,52,1298919,False,23,13,6,-173
NA1_3888636531,1,1,1,1,86,1,1,1,131,1,1,131,86,1,1,1,1,1,1,1,1,225,1298919,True,13,23,6,173
NA1_3888366931,0,1,1,1,5,1,1,1,23,2,268,268,23,5,2,1,1,1,1,1,1,304,2256346,False,54,38,6,-896
NA1_3888366931,1,149,58,57,73,95,117,164,136,163,188,188,164,163,149,136,117,95,73,58,57,1200,2256346,True,38,54,6,896
NA1_3888040827,0,1,27,1,1,1,1,1,1,1,41,41,27,1,1,1,1,1,1,1,1,76,619103,True,6,10,6,-28
NA1_3888040827,1,95,1,1,1,1,1,1,1,1,1,95,1,1,1,1,1,1,1,1,1,104,619103,False,10,5,6,28
NA1_3888013108,0,389,193,288,250,118,179,137,57,102,102,389,288,250,193,179,137,118,102,102,57,1815,1482484,True,9,27,6,1701
NA1_3888013108,1,105,1,1,1,1,1,1,1,1,1,105,1,1,1,1,1,1,1,1,1,114,1482484,False,27,9,6,-1701
